image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, greedy, caption","BLIP-2, greedy, bool","BLIP-2, greedy, name","BLIP-2, greedy, real","BLIP-2, greedy, color and textures","BLIP-2, beam, caption","BLIP-2, beam, bool","BLIP-2, OPT-2.7b greedy, name","BLIP-2, beam, real","BLIP-2, beam, color and textures"
data/NOUN-2-600DPI/2001-600.jpg,2001,bee have trap,19,50,66,14,a yellow plastic toy with a hole in it,"yes or no, do you recognize this object?",a yellow plastic ball,A yellow plastic egg shaped object,"(['Yellow'], ['Plastic'])",a close up of an orange plastic toy on a white background,"yes or no, do you recognize this object?",the object in this image is an orange ball with a hole in it,This is an orange plastic ball with a hole in the middle,"(['Orange'], ['Plastic'])"
data/NOUN-2-600DPI/2002-600.jpg,2002,bookend,22,83,59,9,a red metal sculpture of a curved shape,"yes, it is a red vase",a red vase,A red vase,"(['Red'], [])",a red metal sculpture on a white background,"yes or no, do you recognize this object?",a red vase,This is a red vase,"(['Red'], [])"
data/NOUN-2-600DPI/2003-600.jpg,2003,fidget toy,59,74,19,0,a set of colorful wooden blocks with the letters s and t,"yes, it's a wooden block",a block,A toy that is made of wood and plastic,"([], ['Wooden'])",a set of colorful wooden blocks on a white background,"yes or no, do you recognize this object?",a stack of multi-colored wooden blocks on a white background,This is a stack of wooden blocks.,"([], ['Wooden'])"
data/NOUN-2-600DPI/2004-600.jpg,2004,pencil sharpener,41,70,48,52,a plastic orange and yellow ball shaped object,"yes or no, do you recognize this object?",a ball,A plastic egg shaped object with a hole in the middle,"(['Orange', 'Yellow'], ['Plastic'])",an orange and yellow plastic ball with a hole in it,"yes or no, do you recognize this object? to to to to to to to to to",the object in this image is an orange and yellow ball with a hole in the middle,This is an orange and yellow plastic ball with a hole in the middle,"(['Orange', 'Yellow'], ['Plastic'])"
data/NOUN-2-600DPI/2005-600.jpg,2005,fish tank stone,6,25,81,13,a rainbow tie dye headband with a pink and blue feather,"yes or no, do you recognize this object?",a rainbow tie dye unicorn,A rainbow tie dye unicorn headband,"(['Blue', 'Pink'], [])",a rainbow tie dye headband on a white background,"yes or no, do you recognize this object?",a tie-dye tie-dye tie-dye tie-dye tie-d,This is a tie dye rainbow unicorn headband,"([], [])"
data/NOUN-2-600DPI/2006-600.jpg,2006,space ship top,34,64,31,3,a silver metal object with a red dot on it,no,a star trek phaser,A space ship,"(['Red', 'Silver'], [])",a close up of a metal object on a white background,"yes or no, do you recognize this object?",the ufo in this image is the ufo in this image,This is a model of the Enterprise-D from Star Trek: The Next Generation,"([], [])"
data/NOUN-2-600DPI/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,a black and red ball with a red handle,"yes or no, do you recognize this object?",a black ball with a red handle,A black rubber ball with a red handle,"(['Red', 'Black'], [])",a black ball with a red handle on a white background,"yes or no, do you recognize this object? to to to to to to to to to",the object in this image is a black ball with a red handle,This is a black rubber ball with a red handle,"(['Red', 'Black'], [])"
data/NOUN-2-600DPI/2008.jpg,2008,curlers formed together,34,25,48,16,a blue rubber toy with two arms,"yes or no, do you recognize this object?",a knot,A blue rubber band,"(['Blue'], ['Rubber'])",a pair of blue and white rubber bands on a white background,"yes or no, do you recognize this object?",a knot,I think it's a knot.,"(['Blue'], ['Rubber'])"
data/NOUN-2-600DPI/2009-600.jpg,2009,dog toy,47,78,65,45,a toy that looks like a spiky orange ball,"yes or no, do you recognize this object?",a spiky orange toy,A dog toy,"(['Orange'], [])",an orange dog toy with spikes on it,"yes or no, do you recognize this object? to to to to to to to to to",an orange dog toy with spikes on it,This is an orange dog toy with spikes on it,"(['Orange'], [])"
data/NOUN-2-600DPI/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,a red and yellow ball with colorful dots,"yes or no, do you recognize this object?",a red ball with colorful dots,A dog toy,"(['Red', 'Yellow'], [])",a red ball with colorful dots on it,"yes or no, do you recognize this object?","a red ball with blue, yellow, and white dots on it",This is a red ball with multi colored dots on it,"(['Red'], [])"
data/NOUN-2-600DPI/2011-600.jpg,2011,noisemaker,22,75,88,3,a toy with a green and orange handle,"yes or no, do you recognize this object?",a plastic toy with two orange and green balls,A plastic toy with a green handle and orange handle,"(['Orange', 'Green'], [])",a green and orange plastic toy on a white background,"yes or no, do you recognize this object? to to to to to to to to to",a plastic toy with two orange and green balls on top of it,This is a plastic toy with two orange and one green handle,"(['Orange', 'Green'], ['Plastic'])"
data/NOUN-2-600DPI/2012-600.jpg,2012,coiled worm toy,41,50,59,41,a red and orange plastic sea urchin,"yes or no, do you recognize this object?",a red sea urchin,A red sea urchin,"(['Red', 'Orange'], ['Plastic'])",a pink sea urchin on a white background,"yes or no, do you recognize this object?",a sea urchin,This is a red sea urchin,"(['Pink'], [])"
data/NOUN-2-600DPI/2013-600.jpg,2013,sling shot,6,20,87,6,a toy that is made of orange and yellow plastic,"yes or no, do you recognize this object?",a tripod,A giant orange and yellow plastic toy,"(['Orange', 'Yellow'], ['Plastic'])",an orange and yellow plastic toy on a white background,"yes or no, do you recognize this object?",the object in this image is an orange and yellow toy,"This is an orange, yellow, and green plastic toy that is shaped like a tripod","(['Orange', 'Yellow'], ['Plastic'])"
data/NOUN-2-600DPI/2014-600.jpg,2014,this light-up toy,38,75,39,0,a toy with a colorful ball and a yellow handle,"yes, it's a ball",a ball,A ball with a hole in it,"(['Yellow'], [])",a pink and yellow ball with a yellow handle,"yes or no, do you recognize this object?",the object in this image is a pink ball with a yellow handle,This is a plastic ball with a pink and yellow design on it,"(['Yellow', 'Pink'], [])"
data/NOUN-2-600DPI/2015-600.jpg,2015,ball catcher,38,78,55,10,a blue plastic shoe holder with holes on the bottom,"yes or no, do you recognize this object?",a blue plastic shoe,A blue plastic shoe holder,"(['Blue'], ['Plastic'])",a blue plastic shoe holder on a white background,"yes or no, do you recognize this object?",the object in this image is a blue plastic shoe holder,This is a blue plastic shoe holder with a hole in the middle,"(['Blue'], ['Plastic'])"
data/NOUN-2-600DPI/2016 600dpi.jpg,2016,bird toy,28,21,61,6,a blue and orange mop with a blue handle,"yes or no, do you recognize this object?",a mop,A dog toy,"(['Orange', 'Blue'], [])",an orange and blue mop with blue and white tassels,"yes or no, do you recognize this object?",the object in this image is an orange cone with blue and white tassels,"It's a mop. to to to to to to to to to to to to,","(['Orange', 'Blue', 'White'], [])"
data/NOUN-2-600DPI/2017-600.jpg,2017,kenetic wheel,41,29,23,13,a metal and plastic toy with a blue handle,"yes, it's a metal ball",a cat toy,A metal ball with a plastic handle,"(['Blue'], ['Plastic'])",a metal hook with a blue and orange ball attached to it,"yes or no, do you recognize this object?",the object in this image is a metal wire with a blue and orange ball attached to it,This is a cat toy. to to to to to to to to to to to to.,"(['Orange', 'Blue'], [])"
data/NOUN-2-600DPI/2018-600.jpg,2018,this coils string,16,50,61,6,a yellow plastic container with a lid,"yes, it's a yellow plastic container",a yellow plastic container,A yellow plastic container with a lid,"(['Yellow'], ['Plastic'])",a yellow plastic container with a lid on a white background,"yes or no, do you recognize this object?",the object in this image is a yellow plastic container,This is a yellow plastic container with a lid,"(['Yellow'], ['Plastic'])"
data/NOUN-2-600DPI/2019-600.jpg,2019,cat nip toy,31,67,38,25,a yellow and orange egg shaped toy with a brown and orange head,"yes or no, do you recognize this object?",a yellow egg,A yellow egg with a brown head,"(['Orange', 'Yellow', 'Brown'], [])",an orange and yellow egg shaped toy,"yes or no, do you recognize this object?",an egg,It's an egg. to to to to to to to to to to to to to.,"(['Orange', 'Yellow'], [])"
data/NOUN-2-600DPI/2020.jpg,2020,jacobs ladder,41,36,29,6,a set of four colorful coasters with a ribbon,"yes, it's a coaster",a coaster,A set of four colorful coasters,"([], [])","a set of four colorful coasters with a red, green, blue, and yellow stripe","yes or no, do you recognize this object?",a coaster,This is a set of four wooden coasters that are made to look like they are made out of,"(['Red', 'Yellow', 'Green', 'Blue'], [])"
data/NOUN-2-600DPI/2021-600.jpg,2021,foam arrow,9,29,84,3,a pink and green pipe with four pink and green pipes,"yes, it's a flower",a flower,A bunch of pink and green balloons,"(['Green', 'Pink'], [])",a bunch of pink and green pipe cleaners on a white surface,"yes or no, do you recognize this object?","the object in this image is a pink, green and black pipe cleaner","Itâ€™s a set of pink, green, and black pipe cleaners","(['Green', 'Pink', 'White'], [])"
data/NOUN-2-600DPI/2022-600.jpg,2022,marker,9,15,70,13,a green plastic cone shaped object,"yes or no, do you recognize this object?",a green plastic cone,A green plastic cone with a hole in the middle,"(['Green'], ['Plastic'])",a green plastic water bottle on a white background,"yes or no, do you recognize this object? to to to to to to to to to",the object in this image is a green plastic cone,This is a green plastic water bottle with a hole in the top,"(['Green'], ['Plastic'])"
data/NOUN-2-600DPI/2023-600.jpg,2023,color changing ball,13,31,87,17,a black and white ball with a white and black design,"yes, i do",a black and white ball,A black and white ball,"(['Black', 'White'], [])",a black and white sculpture of a soccer ball on a white background,"yes or no, do you recognize this object?",a black and white ball,This is a black and white vinyl record ball,"(['Black'], [])"
data/NOUN-2-600DPI/2024-600.jpg,2024,connected disk toy,81,44,41,3,"a toy with a yellow, red and blue star","yes, it's a star",a toy,"A toy that is made of plastic and has a yellow, red, blue and orange star shape","(['Red', 'Yellow', 'Blue'], [])","a yellow, blue, and red plastic toy","yes or no, do you recognize this object?",a sunflower,This is a plastic toy that is shaped like a star,"(['Red', 'Yellow', 'Blue'], ['Plastic'])"
data/NOUN-2-600DPI/2025-600.jpg,2025,boomerang,6,14,58,13,a blue plastic shoe with a white background,"yes, it's a blue shoe",a blue shoe,A blue plastic footrest,"(['Blue'], ['Plastic'])",an image of a blue shoe with a white background,"yes or no, do you recognize this object?",the object in this image is a blue shoe,This is a 3d-printed foot orthotic that is designed to support the arch of the foot,"(['Blue'], [])"
data/NOUN-2-600DPI/2026-600.jpg,2026,dog toy,16,71,63,17,a green and red plastic toy with red handles,"yes, it's a green and red rubber dog toy",a green rubber dog toy,A green and red plastic dog toy,"(['Red', 'Green'], ['Plastic'])",a green and red dog toy on a white background,"yes or no, do you recognize this object? to to to to to to to to to","the object in this image is a green, red, and blue dog toy",This is a green and red rubber dog toy with a red handle,"(['Red', 'Green'], [])"
data/NOUN-2-600DPI/2027-600.jpg,2027,room freshener toy,22,38,47,9,a white ball with a hole in the middle,"yes, it's a ball",a ball,A ball with a hole in the middle,"(['White'], [])",a white plastic ball on a white background,"yes or no, do you recognize this object?",a ball,It's a ball. to to to to to to to to to to to to to the,"([], ['Plastic'])"
data/NOUN-2-600DPI/2028-600.jpg,2028,cat toy found at the pound store,6,47,53,63,a pink donut with three pom poms on it,"yes or no, do you recognize this object?",a donut,A pink donut,"(['Pink'], [])",a pink donut with three pom poms attached to it,"yes or no, do you recognize this object?",a donut,It's a donut.,"(['Pink'], [])"
data/NOUN-2-600DPI/2029-600.jpg,2029,cover for room fresheners,19,27,65,16,a close up of a black plastic device,"yes, it's a black plastic cover for a flashlight",a black plastic object,A black plastic cover for a flashlight,"(['Black'], ['Plastic'])",a close up of a black plastic device on a white background,"yes or no, do you recognize this object?",the object in this image is a black object with a hole in it,"I don't know, but I'm pretty sure it's a gun.","(['Black'], ['Plastic'])"
data/NOUN-2-600DPI/2030-600.jpg,2030,marker,9,43,53,0,a blue and purple plastic toy with a face,"yes or no, do you recognize this object?",a blue and purple plastic toy,A blue and purple plastic toy,"(['Blue', 'Purple'], ['Plastic'])",a blue and purple plastic figurine on a white background,"yes or no, do you recognize this object?",a small blue and purple figurine on a white background,This is a blue and purple plastic figurine with a face on it,"(['Blue', 'Purple'], ['Plastic'])"
data/NOUN-2-600DPI/2031.jpg,2031,book end,16,32,35,26,a metal metal armrest with a curved shape,"yes, it is a metal bracket",a metal wave,A metal bracket for a door handle,"([], [])",stainless steel door handle with a curved shape,"yes or no, do you recognize this object?",the object in this image is a stainless steel arm rest,I think this is a picture of a cat. to to to to to to to to to,"([], [])"
data/NOUN-2-600DPI/2032-600.jpg,2032,submarine,47,90,50,3,a toy airplane shaped like a rocket,"yes, it's a rocket",a rocket,A rocket ship,"([], [])",an orange and blue plastic toy airplane on a white background,"yes or no, do you recognize this object?",an orange rocket shaped toy on a white background,It's a rocket ship.,"(['Orange', 'Blue'], ['Plastic'])"
data/NOUN-2-600DPI/2033-600.jpg,2033,cat toy cage,9,57,55,3,an orange plastic toy with a green handle,"yes, I recognize this object",a toy,A toy.,"(['Orange', 'Green'], ['Plastic'])",an orange plastic storage box with a green handle,"yes or no, do you recognize this object?",the object in this image is an orange crate,This is an orange and green plastic toy box,"(['Orange', 'Green'], ['Plastic'])"
data/NOUN-2-600DPI/2034-600.jpg,2034,worm ball with cut off hands or stars,72,39,45,26,a pile of colorful rubber bands on a white background,"yes or no, do you recognize this object?",a pile of colorful rubber bands,A pile of rubber bands,"([], ['Rubber'])",a pile of colorful rubber bands on a white background,"yes or no, do you recognize this object?",a pile of colorful rubber bands on a white background,This is a pile of colorful rubber bands that are sitting on top of each other,"([], ['Rubber'])"
data/NOUN-2-600DPI/2035-600.jpg,2035,giant pen with pen tip removed and cooper scourer pad on top,13,54,47,13,a blue and brown ball with a blue handle,"yes, it's a ball of yarn",a ball of yarn,A blue and brown ball with a brown handle,"(['Blue', 'Brown'], [])",a blue and brown ball on a white background,"yes or no, do you recognize this object?",the object in this image is a blue and brown ball,"I think it's a ball of yarn. to to to to to to to to to,","(['Blue', 'Brown'], [])"
data/NOUN-2-600DPI/2036-600.jpg,2036,cup-and-ball toy,59,70,20,20,"a wooden toy with a red, yellow, green and blue ball","yes, it's a wooden toy hammer",a wooden toy hammer,A wooden toy hammer,"(['Red', 'Yellow', 'Green', 'Blue'], ['Wooden'])","a wooden toy hammer with a red, yellow and green ball","yes or no, do you recognize this object?","a wooden toy hammer with a red, yellow, green, and blue ball","This is a wooden toy hammer with a red, yellow, green, and blue ball","(['Red', 'Yellow', 'Green'], ['Wooden'])"
data/NOUN-2-600DPI/2037-600.jpg,2037,teething ring with a bit photoshopped out,34,24,37,3,a pink plastic bracelet with a white background,"yes or no, do you recognize this object?",a pink rubber ring,A pink rubber ring with a few balls on it,"(['Pink'], ['Plastic'])",a close up of a pink bracelet with four balls on it,"yes or no, do you recognize this object?",a pink plastic ring with four balls on it,"I don't know, but I'm pretty sure it's pink.","(['Pink'], [])"
data/NOUN-2-600DPI/2038-600.jpg,2038,heart shaped slinky,56,63,26,6,a rainbow colored plastic heart shaped toy,"yes or no, do you recognize this object?",a heart,A rainbow heart shaped balloon,"(['Red'], ['Plastic'])","an orange, yellow, green, and pink heart shaped toy on a white background","yes or no, do you recognize this object?",an object in this image is an object shaped like a heart,This is a 3D-printed rainbow heart. to to to to to to to to.,"(['Orange', 'Yellow', 'Green', 'Pink'], [])"
data/NOUN-2-600DPI/2039-600.jpg,2039,led top,28,64,61,13,a green plastic cross shaped toy with a green plastic cross,"yes or no, do you recognize this object?",a green plastic cross,A green plastic cross shaped toy,"(['Green'], ['Plastic'])",a green plastic fidget spinner on a white background,"yes or no, do you recognize this object? to to to to to to to to to",a fidget spinner,"A fidget spinner. to to to to to to to to to to to to,","(['Green'], ['Plastic'])"
data/NOUN-2-600DPI/2040-600.jpg,2040,rubber toy found in toy aisle,31,64,63,16,a blue and yellow ball with a blue and yellow tangle,"yes or no, do you recognize this object?",a ball,A ball of blue and yellow rubber,"(['Yellow', 'Blue', 'Tan'], [])",a blue and yellow ball with a blue and yellow pom pom,"yes or no, do you recognize this object? to to to to to to to to to",a ball with a blue and yellow mohawk,This is a blue and yellow ball with a blue and yellow pom pom on top of it,"(['Yellow', 'Blue'], [])"
data/NOUN-2-600DPI/2041-600.jpg,2041,massager,34,38,23,20,a wooden toy with four balls on it,"yes, it's a wooden cross",a cross,A wooden toy with four balls,"([], ['Wooden'])",a wooden toy with four balls on a white background,"yes or no, do you recognize this object?",a cross,This is a cross made out of wood and blue balls,"([], ['Wooden'])"
data/NOUN-2-600DPI/2042-600.jpg,2042,small personal fan without blades,38,67,81,3,a blue and yellow plastic spray bottle,"yes, it's a blue and yellow plastic bottle",a blue and yellow plastic bottle,A blue and yellow plastic bottle with a yellow cap,"(['Yellow', 'Blue'], ['Plastic'])",a blue and yellow spray bottle on a white background,"yes or no, do you recognize this object?",a blue and yellow plastic bottle with an orange cap,This is a spray bottle with a blue and yellow cap,"(['Yellow', 'Blue'], [])"
data/NOUN-2-600DPI/2043.jpg,2043,clacker,66,76,65,6,a toy with a yellow and green ball and a pink and green ball,"yes, it's a toy ball",a ball,A toy that is made of plastic and has a string attached to it,"(['Yellow', 'Green', 'Pink'], [])",a plastic toy with two balls attached to it,"yes or no, do you recognize this object?",a rubber ball with a string attached to it,This is a plastic ball with a string attached to it,"([], ['Plastic'])"
data/NOUN-2-600DPI/2044-600.jpg,2044,diving toy with small weight,6,27,94,6,a toy with a blue ball on it,"yes or no, do you recognize this object?",a toothbrush,A toothbrush,"(['Blue'], [])",an orange and blue toothbrush on a white background,"yes or no, do you recognize this object?",a toothbrush,This is an orange and blue toothbrush with a ball on the end,"(['Orange', 'Blue'], [])"
data/NOUN-2-600DPI/2045-600.jpg,2045,wooden ball toy,25,29,3,55,a wooden spoon holder with five holes,"yes, it's a wooden spoon",a wooden spoon,A wooden spoon holder,"([], ['Wooden'])",a wooden toothbrush holder with five holes in it,"yes or no, do you recognize this object?",a toothbrush holder,This is a wooden toothbrush holder,"([], ['Wooden'])"
data/NOUN-2-600DPI/2046-600.jpg,2046,keychain with bubbles inside,34,67,42,3,a clear plastic keychain with a small square of glass,"yes, it's a keychain",a glass cube with a blue and green pattern,A keychain with a clear plastic rectangle with a blue and green design,"([], ['Plastic'])","a clear plastic keychain with a blue, green and white design on it","yes or no, do you recognize this object?",a keychain,"I think it's a keychain. to to to to to to to to to to,","(['Green', 'Blue', 'White'], ['Plastic'])"
data/NOUN-2-600DPI/2047-600.jpg,2047,perfume sprayer,41,32,50,3,a black and silver metal cylinder with a white background,"yes or no, do you recognize this object?",a black and white striped object,A black and silver cylinder with a silver cap,"(['Black', 'Silver'], [])",a black and silver bottle on a white background,"yes or no, do you recognize this object?",the object in this image is a bottle with a black and white striped cap,This is a black and silver cylinder with a silver cap,"(['Black', 'Silver'], [])"
data/NOUN-2-600DPI/2048-600.jpg,2048,worm ball with hands and stars cut off,13,47,55,6,a pile of colorful balls on a white background,"yes or no, do you recognize this object?",a ball,A bunch of colorful balls,"([], [])",a pile of colorful plastic balls on a white background,"yes or no, do you recognize this object? to to to to to to to to to",a pile of colorful balls on a white background,This is a pile of colorful plastic balls that are sitting on top of each other,"([], ['Plastic'])"
data/NOUN-2-600DPI/2049-600.jpg,2049,slide whistle,19,44,39,10,a blue pen with a metal hook on the end,"yes, it's a pen",a blue pen,A blue pen with a white ballpoint pen,"(['Blue'], [])",a blue pen on a white background,"yes or no, do you recognize this object?",the object in this image is a pen with a blue handle,"It's a pen. to to to to to to to to to to to to to,","(['Blue'], [])"
data/NOUN-2-600DPI/2050-600.jpg,2050,mobile phone stand for a car,31,68,45,0,a black plastic car mount with a black plastic base,"yes, it's a black plastic car mount",a black plastic cup,A black plastic cup holder,"(['Black'], ['Plastic'])",a close up of a black car mount on a white background,"yes or no, do you recognize this object?",the object in this image is a car phone holder,This is a car phone holder,"(['Black'], [])"
data/NOUN-2-600DPI/2051-600.jpg,2051,finger castanet,53,60,47,9,a green toilet seat with a pink flower on it,"yes, it's a green toilet seat",a green toilet seat,A green toilet seat,"(['Green', 'Pink'], [])",a green toilet seat with a pink bow on it,"yes or no, do you recognize this object?",a toilet seat,This is a green plastic toilet seat with a pink butterfly on it,"(['Green', 'Pink'], [])"
data/NOUN-2-600DPI/2052-600.jpg,2052,noisemaker,41,53,63,7,a green and pink plastic flower holder,"yes, it's a flower pot",a flower,A flower pot,"(['Green', 'Pink'], ['Plastic'])",a green plastic spoon with a pink handle,"yes or no, do you recognize this object?",the object in this image is a green and pink plastic spoon,It's a flower. to to to to to to to to to to to to to the,"(['Green', 'Pink'], ['Plastic'])"
data/NOUN-2-600DPI/2053-600.jpg,2053,hand castanet,44,79,45,6,a red and black metal hook with a black handle,"yes or no, do you recognize this object?",a red and black metal pole,A red and black metal hook,"(['Red', 'Black'], [])",a pair of black and red clippers on a white background,"yes or no, do you recognize this object?",the object in this image is a pair of scissors,This is a red and black metal pole with a hook on the end,"(['Red', 'Black'], [])"
data/NOUN-2-600DPI/2054-600.jpg,2054,floating ball game,3,25,38,48,a wooden stick with a red handle,"yes, it's a wooden stick",a wooden stick,A wooden stick with a red handle,"(['Red'], ['Wooden'])",a wooden stick with a red handle on a white background,"yes or no, do you recognize this object?",a wooden stick with a red handle on a white background,This is a wooden stick with a red handle,"(['Red'], ['Wooden'])"
data/NOUN-2-600DPI/2055-600.jpg,2055,aroma therapy oil burner,13,33,53,13,a green vase with holes in it,"yes or no, do you recognize this object?",a vase,A vase,"(['Green'], [])",a green vase with holes in it,"yes or no, do you recognize this object?",a vase,This is a vase with holes in it.,"(['Green'], [])"
data/NOUN-2-600DPI/2056-600.jpg,2056,dog toy,19,59,61,13,a toy airplane made of colorful plastic,"yes, it's a rainbow airplane",a rainbow colored airplane,A toy airplane,"([], ['Plastic'])",a toy airplane shaped like a rainbow is on a white background,"yes or no, do you recognize this object?",an airplane,It's a toy airplane.,"([], [])"
data/NOUN-2-600DPI/2057-600.jpg,2057,spout for watering can,34,32,35,3,a red fan with a black handle on a white background,"yes, it's a red plastic fan",a red fan,A red plastic fan with a black handle,"(['Red', 'Black'], [])",a red fan with a black handle on a white background,"yes or no, do you recognize this object?",the object in this image is a red fan,This is a red plastic fan with a black handle on a white background,"(['Red', 'Black'], [])"
data/NOUN-2-600DPI/2058-600.jpg,2058,hole for children golf game,22,33,58,3,a pink plastic toilet seat cover,"yes, it's a pink plastic toilet seat",a pink plastic toilet seat,A pink plastic toilet seat cover,"(['Pink'], ['Plastic'])",a pink plastic toilet seat cover with a hole in the middle,"yes or no, do you recognize this object?",the object in this image is a pink toilet seat cover,This is a pink plastic toilet seat cover with a hole in the middle,"(['Pink'], ['Plastic'])"
data/NOUN-2-600DPI/2059-600.jpg,2059,maraca pen,75,92,28,0,a purple spoon with a handle on it,"yes or no, do you recognize this object?",a purple egg shaped vibrator,A purple egg shaped vibrator,"(['Purple'], [])",a purple egg shaped vibrator on a white background,"yes or no, do you recognize this object?",a purple spoon with a black handle on a white background,It's a spoon. to to to to to to to to to to to to to.,"(['Purple'], [])"
data/NOUN-2-600DPI/2060-600.jpg,2060,dog toy with removed rope,38,32,55,29,a red plastic toy with a flower shape,"yes or no, do you recognize this object?",a red ball,A red jelly bean,"(['Red'], ['Plastic'])",a close up of a red plastic toy that is shaped like a flower,"yes or no, do you recognize this object?",an object in the shape of a flower,It's a red jelly bean.,"(['Red'], ['Plastic'])"
data/NOUN-2-600DPI/2061-600.jpg,2061,dog toy,53,53,59,13,a green donut toy with colorful dots on it,"yes or no, do you recognize this object?",a donut,A donut,"(['Green'], [])",a green donut toy with colorful dots on it,"yes or no, do you recognize this object?",a donut,It's a donut. to to to to to to to to to to to to to,"(['Green'], [])"
data/NOUN-2-600DPI/2062-600.jpg,2062,dog toy,44,56,29,42,an orange plastic ring with spikes on it,"yes or no, do you recognize this object?",a rubber ring with spikes,A rubber dog toy,"(['Orange'], ['Plastic'])",an orange plastic ring with spikes on it,"yes or no, do you recognize this object? to to to to to to to to to",an orange rubber ring with spikes on it,This is an orange rubber ring with spikes on it,"(['Orange'], ['Plastic'])"
data/NOUN-2-600DPI/2063-600.jpg,2063,magic loops,25,38,13,19,a metal sculpture of a globe with multi colored beads,"yes, it's a planet",a planet,A planet,"(['Red'], [])",a metal sculpture of a planet with multi colored beads on it,"yes or no, do you recognize this object?",the solar system,This is the planet of the apes.,"(['Red'], [])"
data/NOUN-2-600DPI/2064-600.jpg,2064,massager,28,33,45,3,a green foot massager with a metal base,"yes or no, do you recognize this object?",a foot massager,A foot massager,"(['Green'], [])",a green foot massager on a white background,"yes or no, do you recognize this object?",a foot massager,"It's a foot massager. to to to to to to to to to to to,","(['Green'], [])"
